crime,year,rate
theftfrommv,2022,492.9544715
theftfrommv,2023,339.4875183
theftover,2014,49.1714592
theftover,2015,19.72678375
theftover,2016,39.50617218
theftover,2017,43.86820221
theftover,2018,52.84650421
theftover,2019,33.23836517
theftover,2020,66.23143005
theftover,2021,85.29592896
theftover,2022,89.39073181
theftover,2023,106.9618225
assault,2014,296.088501
assault,2015,295.42099
assault,2016,301.3948364
assault,2017,335.8694763
assault,2018,495.3809204
assault,2019,301.8174744
assault,2020,278.2991333
assault,2021,360.2676392
assault,2022,234.1772156
assault,2023,309.6166992
autotheft,2014,70.12622833
autotheft,2015,29.54209709
autotheft,2016,42.05509186
autotheft,2017,6.854479313
autotheft,2018,53.55469131
autotheft,2019,98.41873932
autotheft,2020,213.5784149
autotheft,2021,218.7339172
autotheft,2022,120.2531662
autotheft,2023,154.8083496
biketheft,2014,23.37540817
biketheft,2015,59.08419418
biketheft,2016,119.1560974
biketheft,2017,150.7985535
biketheft,2018,40.16601944
biketheft,2019,85.29624176
biketheft,2020,239.4667053
biketheft,2021,128.6670074
biketheft,2022,179.5776828
biketheft,2023,55.73100662
breakenter,2014,85.70983124
breakenter,2015,66.46971893
breakenter,2016,49.06427383
breakenter,2017,75.39927673
breakenter,2018,87.02637482
breakenter,2019,85.29624176
breakenter,2020,84.13694763
breakenter,2021,109.3669586
breakenter,2022,50.63291168
breakenter,2023,117.6543427
homicide,2014,0
homicide,2015,0
homicide,2016,0
homicide,2017,0
homicide,2018,73.63770294
homicide,2019,0
homicide,2020,6.472073078
homicide,2021,0
homicide,2022,6.32911396
robbery,2014,31.16721153
robbery,2015,29.54209709
robbery,2016,21.02754593
robbery,2017,68.54479218
robbery,2018,73.63770294
robbery,2019,32.80624771
robbery,2020,58.24865723
robbery,2021,51.4668045
robbery,2022,25.31645584
robbery,2023,37.15400314
shooting,2014,7.791802883
shooting,2015,0
shooting,2016,0
shooting,2017,6.854479313
shooting,2018,0
shooting,2019,0
shooting,2020,6.472073078
shooting,2021,0
shooting,2022,0
shooting,2023,6.192333698
theftfrommv,2014,77.91802979
theftfrommv,2015,51.69866943
theftfrommv,2016,98.12854767
theftfrommv,2017,61.69031525
theftfrommv,2018,60.24903107
theftfrommv,2019,144.3474884
theftfrommv,2020,232.9946289
theftfrommv,2021,173.70047
theftfrommv,2022,247.6933556
theftfrommv,2023,396.3093567
theftover,2014,15.58360577
theftover,2015,7.385524273
theftover,2016,42.05509186
theftover,2017,34.27239609
theftover,2018,33.4716835
theftover,2019,26.24499702
theftover,2020,19.41621971
theftover,2021,32.16675186
theftover,2022,56.96202469
theftover,2023,30.96166992
assault,2014,271.9109802
assault,2015,213.0592804
assault,2016,328.6210327
assault,2017,284.8312073
